country,year,inflation_rate,obesity_rate,population,fast_food_count,fast_food_per_million
Honduras,2022,9.08963911525025,29.49242,10463872.0,10,0.9556691824976452
Croatia,2022,10.7805806758686,30.61658,3855641.0,45,11.671211090451628
Hungary,2022,14.6081439492433,31.70393,9605074.0,104,10.82761049003891
Indonesia,2022,4.20946463714784,11.22787,278830529.0,297,1.065163133553428
India,2022,6.69903414079852,7.26789,1425423212.0,407,0.285529235509601
Ireland,2022,7.82945736434105,28.34655,5212836.0,92,17.648742450366747
Israel,2022,4.41162725488371,22.49071,9557500.0,221,23.12320167407795
Italy,2022,8.20128991161718,17.29186,59013667.0,674,11.421083187391153
Japan,2022,2.49770278172255,5.5393,125124989.0,2963,23.68032176210621
Kazakhstan,2022,15.0278644440851,18.37642,20034609.0,15,0.7487044044632964
Kuwait,2022,3.98064961990313,41.41697,4589643.0,63,13.726557817241995
Lebanon,2022,171.205491336641,29.78156,5744489.0,13,2.263038540068577
Sri Lanka,2022,49.7211021114327,10.56364,22181000.0,11,0.49591993147288216
Lithuania,2022,19.7050461518394,25.35532,2831639.0,17,6.003590146907851
Luxembourg,2022,6.33600807777919,18.4344,653103.0,12,18.373824649404458
Latvia,2022,17.3102830198815,24.2725,1879383.0,14,7.449253292170887
Morocco,2022,6.65704202759067,21.78435,37329064.0,61,1.634115444201869
Moldova,2022,28.7372976766235,22.97021,2528654.0,8,3.1637384948672294
Mexico,2022,7.8962761916855,36.02991,128613117.0,229,1.7805337849015819
Malta,2022,6.15375621933037,32.28799,531113.0,9,16.945546427972957
Mauritius,2022,10.7737512242899,19.22863,1262523.0,15,11.880971673387336
Malaysia,2022,3.37869862549928,22.09537,34695493.0,348,10.030121203350534
Nicaragua,2022,10.4674244465991,33.62729,6730654.0,7,1.0400178051048234
Netherlands,2022,10.0012078753473,14.54182,17700982.0,270,15.253391026554347
Norway,2022,5.76412317852272,19.14644,5457127.0,62,11.361289557673846
New Zealand,2022,7.17222476016441,33.62131,5081700.0,170,33.45337190310329
Oman,2022,2.5061425061425,31.09542,4730226.0,13,2.748283063007983
Pakistan,2022,19.8738599646655,23.0065,243700667.0,71,0.2913410163132627
Panama,2022,2.85965128834711,36.07102,4400773.0,50,11.36164033000566
Peru,2022,8.33370630096231,27.28843,33475438.0,28,0.8364341640578384
Philippines,2022,5.82115811213955,8.74173,113964338.0,654,5.738637291957068
Poland,2022,14.4294507575758,27.4997,36821749.0,531,14.4208250401142
Portugal,2022,7.83269124233323,21.79111,10434332.0,194,18.5924695514768
Paraguay,2022,9.76556667164402,32.95919,6760464.0,18,2.662539139325348
Qatar,2022,4.99527553740761,43.14167,2657333.0,64,24.084298053725295
Romania,2022,13.7954887432521,34.03971,19048502.0,97,5.092263948104685
Saudi Arabia,2022,2.47407371925372,40.59908,32175224.0,187,5.811925349766019
Singapore,2022,6.13095418919732,13.87663,5637022.0,123,21.820031924658092
El Salvador,2022,7.19861615609867,30.88003,6280319.0,17,2.7068688708328352
Serbia,2022,11.9815117344703,22.50792,6664449.0,32,4.801597251325654
Suriname,2022,52.446027276241,29.01503,623164.0,2,3.2094280157390354
Slovenia,2022,8.83369886749452,19.44181,2112076.0,23,10.889759648800517
Sweden,2022,8.36929098869189,15.26701,10486941.0,184,17.54563127607946
Thailand,2022,-1.61068030486688,15.38461,71735329.0,215,2.9971285139014276
Ukraine,2022,20.1836366617478,23.63479,41048766.0,88,2.143791606305534
Uruguay,2022,9.10437983075437,33.34379,3390913.0,29,8.552268961191277
United States,2022,8.00279982052121,41.98672,334017321.0,12419,37.1807065658131
Samoa,2022,10.9618822286844,62.42939,215261.0,1,4.645523341432029
South Africa,2022,7.03987272546482,30.81971,62378410.0,341,5.46663501041466
